,zip,city,name,alias,state,locale,address,dolflag,branches,ownership,main_campus,state_fips,religious_affiliation,tuition_revenue_per_fte,instructional_expenditure_per_fte,peps_ownership,faculty_salary,online_only
0,35762,Normal,Alabama A & M University,AAMU,AL,12.0,4900 Meridian Street,0,1,1,1,1,,10011.0,6298.0,Public,8610.0,0.0
1,35294-0110,Birmingham,University of Alabama at Birmingham,UAB,AL,12.0,Administration Bldg Suite 1070,0,1,1,1,1,,12052.0,17179.0,Public,12211.0,0.0
2,36117-3553,Montgomery,Amridge University,Southern Christian University  Regions University,AL,12.0,1200 Taylor Rd,0,1,2,1,1,74.0,14365.0,5671.0,Private Nonprofit,5109.0,1.0
3,35899,Huntsville,University of Alabama in Huntsville,UAH  University of Alabama Huntsville,AL,12.0,301 Sparkman Dr,1,1,1,1,1,,9871.0,9461.0,Public,10411.0,0.0
4,36104-0271,Montgomery,Alabama State University,,AL,12.0,915 S Jackson Street,0,1,1,1,1,,9865.0,11082.0,Public,8015.0,0.0
5,35487-0100,Tuscaloosa,The University of Alabama,,AL,12.0,739 University Blvd,1,1,1,1,1,,13885.0,9380.0,Public,11090.0,0.0
6,35010,Alexander City,Central Alabama Community College,,AL,32.0,1675 Cherokee Rd,1,1,1,1,1,,2531.0,7893.0,Public,6773.0,0.0
7,35611,Athens,Athens State University,,AL,31.0,300 N Beaty St,0,1,1,1,1,,7237.0,9639.0,Public,9452.0,0.0
8,36117-3596,Montgomery,Auburn University at Montgomery,AUM||Auburn University at Montgomery|Auburn Montgomery,AL,12.0,7440 East Drive,0,1,1,1,1,,8907.0,7006.0,Public,8823.0,0.0
9,36849,Auburn,Auburn University,,AL,13.0,"Auburn, Alabama",1,1,1,1,1,,16999.0,10041.0,Public,11907.0,0.0
10,35254,Birmingham,Birmingham-Southern College,BSC,AL,12.0,900 Arkadelphia Road,0,1,2,1,1,71.0,9946.0,10898.0,Private Nonprofit,6586.0,0.0
11,36869,Phenix City,Chattahoochee Valley Community College,CVCC,AL,21.0,2602 College Drive,1,1,1,1,1,,1486.0,6171.0,Public,6268.0,0.0
12,36116,Montgomery,South University-Montgomery,,AL,12.0,5355 Vaughn Rd,0,9,3,0,1,,11951.0,7449.0,Proprietary,6153.0,0.0
